id  ,Filename                               ,Label               ,Type  ,Framerate ,Resolution ,Length (frames) ,InThisRepo ,ID  ,extension
 74 ,Reg_Avi_Video_004                      ,regular             ,video ,       50 ,597x597    ,            202 ,Yes        , 74 ,mp4
 75 ,Pneu_northumbria_0409_set1_vid1        ,Bacterial pneumonia ,video ,       22 ,516x516    ,             90 ,Yes        , 75 ,avi
 76 ,Pneu_northumbria_0409_set1_vid2        ,Bacterial pneumonia ,video ,       22 ,520x520    ,             93 ,Yes        , 76 ,avi
 77 ,Pneu_northumbria_0409_set2_vid1        ,Bacterial pneumonia ,video ,       22 ,508x508    ,             91 ,Yes        , 77 ,avi
 78 ,Pneu_northumbria_0409_set2_vid2        ,Bacterial pneumonia ,video ,       22 ,524x524    ,             93 ,Yes        , 78 ,avi
 79 ,Pneu_northumbria_0409_set2_vid3        ,Bacterial pneumonia ,video ,       22 ,503x503    ,             92 ,Yes        , 79 ,avi
 80 ,Pneu_northumbria_0409_set2_vid4        ,Bacterial pneumonia ,video ,       22 ,523x523    ,             79 ,Yes        , 80 ,avi
 81 ,Pneu_northumbria_0409_set3_vid1        ,Bacterial pneumonia ,video ,       22 ,481x481    ,             90 ,Yes        , 81 ,avi
 82 ,Pneu_northumbria_0409_set3_vid2        ,Bacterial pneumonia ,video ,       22 ,528x528    ,             92 ,Yes        , 82 ,avi
 83 ,Pneu_northumbria_0409_set4_vid1        ,Bacterial pneumonia ,video ,       22 ,500x500    ,             90 ,Yes        , 83 ,avi
 84 ,Pneu_northumbria_0409_set4_vid2        ,Bacterial pneumonia ,video ,       22 ,494x494    ,             91 ,Yes        , 84 ,avi
 85 ,Pneu_northumbria_0409_set5_vid1        ,Bacterial pneumonia ,video ,       22 ,509x509    ,             92 ,Yes        , 85 ,avi
 86 ,Pneu_northumbria_0409_set5_vid2        ,Bacterial pneumonia ,video ,       22 ,516x516    ,             92 ,Yes        , 86 ,avi
 87 ,Pneu_northumbria_0409_set6_vid1        ,Bacterial pneumonia ,video ,       22 ,514x514    ,             92 ,Yes        , 87 ,avi
 88 ,Pneu_northumbria_0409_set6_vid2        ,Bacterial pneumonia ,video ,       22 ,517x517    ,             92 ,Yes        , 88 ,avi
 89 ,Pneu_northumbria_0409_set6_vid3        ,Bacterial pneumonia ,video ,       22 ,508x508    ,             91 ,Yes        , 89 ,avi
 90 ,Pneu_northumbria_0409_set6_vid4        ,Bacterial pneumonia ,video ,       22 ,519x519    ,             91 ,Yes        , 90 ,avi
 91 ,Pneu_northumbria_0409_set6_vid5        ,Bacterial pneumonia ,video ,       22 ,509x509    ,             93 ,Yes        , 91 ,avi
 92 ,Pneu_northumbria_0409_set6_vid7        ,Bacterial pneumonia ,video ,       22 ,510x510    ,             91 ,Yes        , 92 ,avi
 93 ,Pneu_northumbria_0409_set6_vid8        ,Bacterial pneumonia ,video ,       22 ,508x508    ,             91 ,Yes        , 93 ,avi
 94 ,Reg_northumbria_0409_set3_vid1         ,regular             ,video ,       22 ,470x470    ,             91 ,Yes        , 94 ,avi
 95 ,Reg_northumbria_0409_set3_vid2         ,regular             ,video ,       22 ,502x502    ,             94 ,Yes        , 95 ,avi
 96 ,Reg_northumbria_0409_set5_vid1         ,regular             ,video ,       50 ,605x497    ,            200 ,Yes        , 96 ,avi
 97 ,Reg_northumbria_0409_set5_vid2         ,regular             ,video ,       30 ,864x864    ,             98 ,Yes        , 97 ,avi
 98 ,Pneu_northumbria_1009_vid1             ,Bacterial pneumonia ,video ,       22 ,501x501    ,             93 ,Yes        , 98 ,avi
 99 ,Reg_northumbria_1009_vid1              ,regular             ,video ,       22 ,478x478    ,             92 ,Yes        , 99 ,avi
100 ,Reg_northumbria_1009_vid2              ,regular             ,video ,       22 ,476x476    ,             92 ,Yes        ,100 ,avi
101 ,Reg_northumbria_1009_vid3              ,regular             ,video ,       22 ,441x441    ,             91 ,Yes        ,101 ,avi
102 ,Reg_northumbria_1009_vid5              ,regular             ,video ,       22 ,475x475    ,             93 ,Yes        ,102 ,avi
103 ,Reg_northumbria_1009_vid6              ,regular             ,video ,       22 ,484x484    ,             93 ,Yes        ,103 ,avi
104 ,Reg_northumbria_1009_vid7              ,regular             ,video ,       22 ,511x511    ,             92 ,Yes        ,104 ,avi
105 ,Vir_whitelung_h1n1                     ,Viral pneumonia     ,video ,       25 ,270x270    ,            123 ,Yes        ,105 ,mp4
106 ,Reg_recommendations_alines_mov1        ,regular             ,video ,       18 ,322x322    ,            180 ,Yes        ,106 ,mov
107 ,Cov_recommendations_likebutterfly_mov5 ,COVID-19            ,video ,       23 ,370x370    ,            138 ,Yes        ,107 ,mov
108 ,Cov_recommendations_lightbeam_mov6     ,COVID-19            ,video ,       30 ,538x538    ,            309 ,Yes        ,108 ,mov
109 ,Cov_convex_volpecelli_sonographic_v1   ,COVID-19            ,video ,       39 ,450x450    ,            403 ,Yes        ,109 ,mov
110 ,Cov_convex_volpecelli_sonographic_v2   ,COVID-19            ,video ,       39 ,432x432    ,            402 ,Yes        ,110 ,mov
111 ,Cov_convex_volpecelli_sonographic_v3   ,COVID-19            ,video ,       39 ,416x416    ,            399 ,Yes        ,111 ,mov
112 ,Cov_convex_volpecelli_sonographic_v4   ,COVID-19            ,video ,       39 ,414x414    ,            405 ,Yes        ,112 ,mov
113 ,Cov_convex_volpecelli_sonographic_v5   ,COVID-19            ,video ,       39 ,444x444    ,            401 ,Yes        ,113 ,mov
114 ,Cov_denault_proposedUS_vid1            ,COVID-19            ,video ,       60 ,702x702    ,            145 ,Yes        ,114 ,mov
115 ,Cov_denault_proposedUS_vid2            ,COVID-19            ,video ,       57 ,842x842    ,            459 ,Yes        ,115 ,mov
116 ,Cov_denault_proposedUS_vid5            ,COVID-19            ,video ,       56 ,706x706    ,            210 ,Yes        ,116 ,mov
117 ,Cov_denault_proposedUS_vid10           ,COVID-19            ,video ,       60 ,852x852    ,            141 ,Yes        ,117 ,mov
118 ,Cov_denault_proposedUS_vid11           ,COVID-19            ,video ,       60 ,852x852    ,            143 ,Yes        ,118 ,mov
119 ,Cov_denault_proposedUS_vid12           ,COVID-19            ,video ,       59 ,852x852    ,            161 ,Yes        ,119 ,mov
120 ,Cov_denault_proposedUS_vid13           ,COVID-19            ,video ,       48 ,852x852    ,            174 ,Yes        ,120 ,mov
121 ,Cov_denault_proposedUS_vid14           ,COVID-19            ,video ,       52 ,852x852    ,            137 ,Yes        ,121 ,mov
122 ,Cov_emdocs_vid1                        ,COVID-19            ,video ,       22 ,353x353    ,            134 ,Yes        ,122 ,gif
123 ,Cov_emdocs_vid3                        ,COVID-19            ,video ,       21 ,748x748    ,             75 ,Yes        ,123 ,gif
